step,mloss,gloss,loss
15500.0,1.2271,0.2791,1.5062000000000002
15600.0,1.2123,0.2787,1.4909999999999999
15700.0,1.2201,0.2826,1.5027
15800.0,1.2223,0.2765,1.4988
15900.0,1.2176,0.2738,1.4914
16000.0,1.2182,0.2774,1.4956
16100.0,1.2194,0.2741,1.4935
16200.0,1.2163,0.2723,1.4886
16300.0,1.215,0.271,1.4860000000000002
16400.0,1.2233,0.2747,1.498
16500.0,1.2154,0.2697,1.4851
16600.0,1.2174,0.2804,1.4978
16700.0,1.2141,0.2708,1.4848999999999999
16800.0,1.2143,0.2705,1.4848
16900.0,1.2159,0.268,1.4839
17000.0,1.2158,0.2686,1.4844
17100.0,1.2112,0.2667,1.4779
17200.0,1.2197,0.2674,1.4871
17300.0,1.2142,0.2694,1.4836
17400.0,1.2182,0.2664,1.4846
17500.0,1.2239,0.2701,1.494
17600.0,1.2117,0.2676,1.4793
17700.0,1.2146,0.2705,1.4850999999999999
17800.0,1.2091,0.266,1.4751
17900.0,1.216,0.2657,1.4817
18000.0,1.2111,0.2637,1.4748
18100.0,1.2126,0.2648,1.4773999999999998
18200.0,1.216,0.2643,1.4803
18300.0,1.2112,0.2639,1.4751
18400.0,1.212,0.2643,1.4763
18500.0,1.2139,0.2628,1.4767
18600.0,1.2135,0.2614,1.4749
18700.0,1.212,0.2617,1.4737
18800.0,1.214,0.2627,1.4767
18900.0,1.2123,0.2619,1.4742
19000.0,1.2069,0.2612,1.4681000000000002
19100.0,1.2133,0.2607,1.474
19200.0,1.2098,0.2606,1.4704
19300.0,1.2091,0.2608,1.4699
19400.0,1.2059,0.2597,1.4656
19500.0,1.2127,0.2598,1.4725
19600.0,1.2104,0.26,1.4704
19700.0,1.2088,0.2601,1.4689
19800.0,1.2079,0.2583,1.4662
19900.0,1.2104,0.2595,1.4699
20000.0,1.2191,0.2589,1.4780000000000002
