step,mloss,gloss,loss
100.0,1.7638,1.7785,3.5423
200.0,1.4961,0.9975,2.4936
300.0,1.4608,0.9773,2.4381
400.0,1.4353,0.9436,2.3789
500.0,1.408,0.9005,2.3085
600.0,1.4063,0.8585,2.2648
700.0,1.3873,0.8151,2.2024
800.0,1.3814,0.7851,2.1665
900.0,1.3714,0.7653,2.1367
1000.0,1.3644,0.7567,2.1211
